Metric,Value
route__wirelength__max,3060.1
timing__unannotated_net__count__corner:nom_tt_025C_1v80,2074
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,2074
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,2074
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,5866
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-3.569983076869957
clock__skew__worst_setup__corner:min_tt_025C_1v80,1.8568196394905896
timing__hold__ws__corner:min_tt_025C_1v80,2.674537111925694
timing__setup__ws__corner:min_tt_025C_1v80,4.37285953158135
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,2.674537
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,8.836280
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,2074
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,773
design__max_fanout_violation__count__corner:min_ss_100C_1v60,5866
design__max_cap_violation__count__corner:min_ss_100C_1v60,52
clock__skew__worst_hold__corner:min_ss_100C_1v60,-4.666080098818734
clock__skew__worst_setup__corner:min_ss_100C_1v60,3.0644430083092424
timing__hold__ws__corner:min_ss_100C_1v60,5.05583278442055
timing__setup__ws__corner:min_ss_100C_1v60,-5.905633482728648
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,-2116.8089604770585
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,-5.905633482728648
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,5.587247
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,1064
timing__setup_r2r__ws__corner:min_ss_100C_1v60,-5.905633
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,826
timing__unannotated_net__count__corner:min_ss_100C_1v60,2074
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,5866
design__max_cap_violation__count__corner:min_ff_n40C_1v95,0
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-3.0875329833392158
clock__skew__worst_setup__corner:min_ff_n40C_1v95,1.328058589579291
timing__hold__ws__corner:min_ff_n40C_1v95,1.674405550493555
timing__setup__ws__corner:min_ff_n40C_1v95,6.77007091771815
timing__hold__tns__corner:min_ff_n40C_1v95,0.0
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,0
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,1.674406
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,2074
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,9
design__max_fanout_violation__count__corner:max_tt_025C_1v80,5866
design__max_cap_violation__count__corner:max_tt_025C_1v80,2
clock__skew__worst_hold__corner:max_tt_025C_1v80,-3.800300182109888
clock__skew__worst_setup__corner:max_tt_025C_1v80,2.0788451548589078
timing__hold__ws__corner:max_tt_025C_1v80,2.621048341443328
timing__setup__ws__corner:max_tt_025C_1v80,3.941590276844111
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,2.621048
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,7.664182
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,2074
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,2004
design__max_fanout_violation__count__corner:max_ss_100C_1v60,5866
design__max_cap_violation__count__corner:max_ss_100C_1v60,130
clock__skew__worst_hold__corner:max_ss_100C_1v60,-5.007081113673629
clock__skew__worst_setup__corner:max_ss_100C_1v60,3.39175364061569
timing__hold__ws__corner:max_ss_100C_1v60,5.35380155362394
